StaffID,Name,Age,Phone,Address,SSN,DOB
277043089914,Michelle Wallace,55,(001) 454-3910,"64482 Amanda Loop, Figueroaview, NV 49234",582-81-2258,12/24/1969
384994027174,Bryan Morales,65,(284) 576-3778,"709 Anthony Mountains, Onealtown, NC 09211",704-11-6474,09/24/1959
192707852656,Brian Smith,63,(432) 943-1675,"72852 Renee Mills Suite 667, Blairborough, IL 77378",728-07-6363,07/23/1961
482225930755,Bradley Lopez,39,(239) 491-8456,"774 Lewis Grove Apt. 002, Adamtown, CA 56566",697-29-9972,04/11/1986
847157462649,Connie Lee,62,(119) 155-8754,"533 Chambers Street, Larryfurt, NJ 45581",893-92-3932,04/28/1962
655919975680,Juan Smith,52,(706) 777-1113,"8602 Tracy Crossroad, Sarahmouth, CT 73515",293-79-8865,12/25/1972
018984280546,Paula Palmer,21,(844) 301-9126,"886 David Rue, Davidshire, IN 88959",734-91-8957,03/31/2004
841606709552,Patrick Valenzuela,56,(845) 357-4922,"9026 Theresa Pass Apt. 237, East Jessica, IN 50912",362-78-9684,04/24/1968
063911658753,Stephanie Rodriguez,35,(895) 774-0382,"785 Jonathon Rapids Suite 354, Acevedoborough, MD 95719",766-32-5623,04/25/1989
347903932193,Mary Perez,39,(240) 598-0250,"51056 Patricia Forge, Grahamstad, HI 85576",337-94-6696,05/02/1985
786260679147,Steven Ferguson,64,(001) 709-1662,"02821 Pennington Rapid, New Courtneyberg, PA 05750",259-44-6169,02/23/1961
750483662134,Stacy Crawford,46,(427) 385-2654,"708 Villa Camp Suite 616, Tylertown, WA 04993",261-88-9536,01/05/1979
109632030976,Pamela Farmer DDS,42,(431) 953-9852,"5445 Patton Rapid, Archertown, FL 75028",045-57-2062,07/10/1982
717390402288,Tiffany Castillo,31,(149) 318-6428,"4440 Osborne Viaduct Suite 488, Veronicaborough, WY 57084",811-19-0098,02/02/1994
397002761490,Matthew Bradshaw,35,(001) 657-0869,"357 Jessica Gateway, West Jacob, MT 10714",587-58-3879,11/22/1989
506474572717,Stephanie Patrick,57,(327) 166-4465,"0704 Kathryn Lights, Rowefurt, AZ 76875",477-46-9320,12/03/1967
438552762964,Diana Short,30,(782) 019-5501,"6246 Caitlin Lodge, Williamburgh, DC 63532",723-83-0766,08/26/1994
120613099926,Justin Manning,28,(162) 591-1824,"78209 Darlene Bypass Suite 137, Port Stephen, VT 44235",671-18-7807,02/14/1997
226717495167,Bradley Holmes,41,(116) 959-7568,"50220 Blackwell Fields, South Deannaport, MS 07347",615-99-2756,08/25/1983
006872676068,Tammy Russell,38,(599) 449-7620,"USS Howard, FPO AE 03933",360-03-2902,10/08/1986
145574028785,Martha Smith,23,(877) 108-6408,"0284 Aaron Junction, New Heather, HI 21338",656-88-3975,10/21/2001
437614888954,Alexander Benjamin,58,(160) 334-5235,"9029 Gloria Stravenue, East Andrew, MD 67359",004-05-0774,11/28/1966
710762892832,Brittany Hernandez,49,(066) 953-2583,"66376 Sabrina Garden Suite 691, Whitneyhaven, ND 03348",619-79-7776,06/04/1975
152343834195,Levi Dillon,22,(180) 260-6661,"2948 Sarah Key Apt. 578, East Natalieview, VA 77005",333-38-6228,06/19/2002
